"Institution (City, State)",Sector,Closure year,"Most recently reported total enrollment figures, covering a 12-month period","Most recently reported percentage of Pell Grant recipient students, covering a 12-month period","Most recently reported percentage of undergraduates receiving Pell grants, covering a 12-month period","Most recently reported total female undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of female students, covering a 12-month period","Most recently reported total minority undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of minroity students, covering a 12-month period","Most recently reported total American Indian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Asian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Black undergraduate enrollment figures, covering a 12-month period","Most recently reported total Hispanic undergraduate enrollment figures, covering a 12-month period","Most recently reported total Native Hawaiian undergraduate enrollment figures, covering a 12-month period","Most recently reported total White undergraduate enrollment figures, covering a 12-month period","Most recently reported total enrollment figures for undergraduates who disclosed two or more races, covering a 12-month period","Most recently reported total enrollment figures for undergraduates whose race/ethnicity was unknown or unreported, covering a 12-month period","Most recently reported total non-resident alien undergraduate enrollment figures, covering a 12-month period",Academic year: enrollment,Academic year: Pell grants
"Ultimate Medical Academy-Tampa (Tampa, FL)",Private nonprofit,2017,29918,23365,78%,28013,94%,19576,65%,282,161,16032,1988,130,9555,983,787,0,2017,2017
"ITT Technical Institute-Indianapolis (Indianapolis, IN)",For-profit,2016,10070,2282,67%,4076,40%,1801,18%,41,58,1241,349,3,1669,109,6599,1,2015,2015
"Everest College-Phoenix (Phoenix, AZ)",For-profit,2015,6572,2290,83%,4692,71%,3665,56%,159,23,2530,651,41,2272,261,634,1,2014,2014
"MBTI Business Training Institute (Santurce, PR)",For-profit,2016,5372,5022,93%,3839,71%,5372,100%,0,0,0,5372,0,0,0,0,0,2015,2015
"ICDC College (Huntington Park, CA)",For-profit,2016,5186,3692,71%,4101,79%,3819,74%,39,20,2748,780,15,1038,217,329,0,2015,2015
"Everest University-South Orlando (Tampa, FL)",Private nonprofit,2018,4420,2913,83%,3369,76%,2720,62%,31,34,2224,251,17,1386,163,314,0,2017,2017
"Harrison College-Indianapolis (Indianapolis, IN)",For-profit,2018,4419,2103,77%,3657,83%,1390,31%,20,44,952,180,3,2850,191,179,0,2017,2017
"Virginia College-Birmingham (Birmingham, AL)",For-profit,2018,4260,2834,68%,3358,79%,1963,46%,4,8,1770,54,3,572,124,1725,0,2017,2017
"Marinello Schools of Beauty-Los Angeles (Los Angeles, CA)",For-profit,2016,3804,3441,84%,3275,86%,2811,74%,22,113,759,1875,15,792,27,199,2,2015,2014
"Jones International University (Centennial, CO)",For-profit,2015,3247,1026,67%,2030,63%,1817,56%,35,48,1083,141,15,1378,495,52,0,2015,2014
"Allied American University (Laguna Hills, CA)",For-profit,2016,3230,1784,55%,1515,47%,1508,47%,31,59,772,478,35,1666,133,56,0,2016,2016
"Wright Career College (Overland Park, KS)",Private nonprofit,2016,3107,1084,78%,2575,83%,1938,62%,88,26,1549,211,5,1148,59,21,0,2015,2015
"Victory University (Memphis, TN)",For-profit,2014,3097,1076,60%,2084,67%,443,14%,0,3,319,120,0,38,1,2616,0,2013,2013
"Anthem College-Phoenix (Phoenix, AZ)",For-profit,2014,3081,1446,78%,2481,81%,1640,53%,140,37,823,460,1,1430,179,10,1,2013,2013
