EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10371179,GOVERNOR JAMES B LONGLEY SCHOLARSHIP FOUNDATION TRUST,% NORMAN HANSON & DETROY LLC,1100 NORTH MARKET STREET,WILMINGTON,DE,19890-0001,0,3,3,1000,0,1,4,0,5,1,202208,4,3,0,1,8,250333,59482,,,KATHRYN M LONGLEY-LEAHY
10548657,KUEHNER BROTHERS FOUNDATION INC,% FOUNDATION SOURCE,FOUNDATION SOURCE 501 SILVERSIDE RD,WILMINGTON,DE,19809-0000,0,3,3,1000,200303,1,4,0,1,1,202112,6,1,0,1,12,2011354,4741,,T20,
10571260,CATALYSIS CLUB OF PHILADELPHIA,% STEPHEN HARRIS,434 C0LDSPRING RUN,NEWARK,DE,19711-0000,0,3,3,2100,200412,1,16,0,1,1,202208,0,0,2,0,8,0,0,0,,PHILADELPHIA CLUB
10592853,COLLABORATIVE EFFORT TO REINFORCE TRANSITION SUCCESS INC,% CYNTHIA M JENKINS,52 READS WAY,NEW CASTLE,DE,19720-1649,0,3,3,2000,200401,1,15,0,1,1,202106,6,6,1,0,6,1958735,1736814,1722564,B90,C E R T S INC
10620485,STAR KIDS INC,% FRANCIS J NORRIS,124 HAINES ST,NEWARK,DE,19711-5329,0,3,3,1000,200211,1,15,0,1,1,202012,0,0,2,0,12,0,0,0,T70,
10652445,RODNEY STREET TENNIS ASSOCIATION,,101 GARDEN OF EDEN RD,WILMINGTON,DE,19803-1511,0,3,3,2000,200401,1,16,0,1,1,202112,5,5,1,0,12,590155,700998,664423,N66,
10667483,COLUMBIETTES INCORPORATED,% LINDA DARLING,206 PITCH KETTLE CT,MAGNOLIA,DE,19962-1592,3060,10,9,1000,197709,2,0,260000000,5,1,202208,0,0,2,0,8,0,0,0,,4182 DOVER
10668771,SERVIAM MEDIA INC,% SHARON BAKER,PO BOX 7769,WILMINGTON,DE,19803-0769,0,3,3,1200,200208,1,15,0,1,1,202212,0,0,2,0,12,0,0,0,A31,
10702336,WOMEN IN TRANSITION INC,% CARLA D ROBINSON,193 MALCOLM FOREST RD,NEW CASTLE,DE,19720-8740,0,3,3,1200,200406,1,15,0,1,1,202012,0,0,2,0,12,0,0,0,I31,
10708223,PTA DELAWARE CONGRESS,% CHERYL DILL,750 E DELAWARE AVE,NEWARK,DE,19711-7185,2155,3,9,2000,197103,0,16,59035000,5,1,202206,0,0,2,0,6,0,0,0,,NEWARK HIGH SCHOOL PTSA
